,Город,Субъект федерации,Федеральный округ,Код субъекта РФ
0,Адыгейск,Республика Адыгея,Южный,1
1,Майкоп,Республика Адыгея,Южный,1
2,Агидель,Республика Башкортостан,Приволжский,2
3,Баймак,Республика Башкортостан,Приволжский,2
4,Белебей,Республика Башкортостан,Приволжский,2
5,Белорецк,Республика Башкортостан,Приволжский,2
6,Бирск,Республика Башкортостан,Приволжский,2
7,Благовещенск,Республика Башкортостан,Приволжский,2
8,Давлеканово,Республика Башкортостан,Приволжский,2
9,Дюртюли,Республика Башкортостан,Приволжский,2
10,Ишимбай,Республика Башкортостан,Приволжский,2
11,Кумертау,Республика Башкортостан,Приволжский,2
12,Межгорье,Республика Башкортостан,Приволжский,2
13,Мелеуз,Республика Башкортостан,Приволжский,2
14,Нефтекамск,Республика Башкортостан,Приволжский,2
15,Октябрьский,Республика Башкортостан,Приволжский,2
16,Салават,Республика Башкортостан,Приволжский,2
17,Сибай,Республика Башкортостан,Приволжский,2
18,Стерлитамак,Республика Башкортостан,Приволжский,2
19,Туймазы,Республика Башкортостан,Приволжский,2
20,Уфа,Республика Башкортостан,Приволжский,2
21,Учалы,Республика Башкортостан,Приволжский,2
22,Янаул,Республика Башкортостан,Приволжский,2
23,Бабушкин,Республика Бурятия,Дальневосточный,3
24,Гусиноозерск,Республика Бурятия,Дальневосточный,3
25,Закаменск,Республика Бурятия,Дальневосточный,3
26,Кяхта,Республика Бурятия,Дальневосточный,3
27,Северобайкальск,Республика Бурятия,Дальневосточный,3
28,Улан-Удэ,Республика Бурятия,Дальневосточный,3
29,Горно-Алтайск,Республика Алтай,Сибирский,4
30,Буйнакск,Республика Дагестан,Северо-Кавказский,5
31,Дагестанские Огни,Республика Дагестан,Северо-Кавказский,5
32,Дербент,Республика Дагестан,Северо-Кавказский,5
33,Избербаш,Республика Дагестан,Северо-Кавказский,5
34,Каспийск,Республика Дагестан,Северо-Кавказский,5
35,Кизилюрт,Республика Дагестан,Северо-Кавказский,5
36,Кизляр,Республика Дагестан,Северо-Кавказский,5
37,Махачкала,Республика Дагестан,Северо-Кавказский,5
38,Хасавюрт,Республика Дагестан,Северо-Кавказский,5
39,Южно-Сухокумск,Республика Дагестан,Северо-Кавказский,5
40,Карабулак,Республика Ингушетия,Северо-Кавказский,6
41,Магас,Республика Ингушетия,Северо-Кавказский,6
42,Малгобек,Республика Ингушетия,Северо-Кавказский,6
43,Назрань,Республика Ингушетия,Северо-Кавказский,6
44,Баксан,Кабардино-Балкарская Республика,Северо-Кавказский,7
45,Майский,Кабардино-Балкарская Республика,Северо-Кавказский,7
46,Нальчик,Кабардино-Балкарская Республика,Северо-Кавказский,7
47,Нарткала,Кабардино-Балкарская Республика,Северо-Кавказский,7
48,Прохладный,Кабардино-Балкарская Республика,Северо-Кавказский,7
49,Терек,Кабардино-Балкарская Республика,Северо-Кавказский,7
50,Тырныауз,Кабардино-Балкарская Республика,Северо-Кавказский,7
51,Чегем,Кабардино-Балкарская Республика,Северо-Кавказский,7
52,Городовиковск,Республика Калмыкия,Южный,8
53,Лагань,Республика Калмыкия,Южный,8
54,Элиста,Республика Калмыкия,Южный,8
55,Карачаевск,Карачаево-Черкесская Республика,Северо-Кавказский,9
56,Теберда,Карачаево-Черкесская Республика,Северо-Кавказский,9
57,Усть-Джегута,Карачаево-Черкесская Республика,Северо-Кавказский,9
58,Черкесск,Карачаево-Черкесская Республика,Северо-Кавказский,9
59,Беломорск,Республика Карелия,Северо-Западный,10
60,Кемь,Республика Карелия,Северо-Западный,10
61,Кондопога,Республика Карелия,Северо-Западный,10
62,Костомукша,Республика Карелия,Северо-Западный,10
63,Лахденпохья,Республика Карелия,Северо-Западный,10
64,Медвежьегорск,Республика Карелия,Северо-Западный,10
65,Олонец,Республика Карелия,Северо-Западный,10
66,Петрозаводск,Республика Карелия,Северо-Западный,10
67,Питкяранта,Республика Карелия,Северо-Западный,10
68,Пудож,Республика Карелия,Северо-Западный,10
69,Сегежа,Республика Карелия,Северо-Западный,10
70,Сортавала,Республика Карелия,Северо-Западный,10
71,Суоярви,Республика Карелия,Северо-Западный,10
72,Воркута,Республика Коми,Северо-Западный,11
73,Вуктыл,Республика Коми,Северо-Западный,11
74,Емва,Республика Коми,Северо-Западный,11
75,Инта,Республика Коми,Северо-Западный,11
76,Микунь,Республика Коми,Северо-Западный,11
77,Печора,Республика Коми,Северо-Западный,11
78,Сосногорск,Республика Коми,Северо-Западный,11
79,Сыктывкар,Республика Коми,Северо-Западный,11
80,Усинск,Республика Коми,Северо-Западный,11
81,Ухта,Республика Коми,Северо-Западный,11
82,Волжск,Республика Марий Эл,Приволжский,12
83,Звенигово,Республика Марий Эл,Приволжский,12
84,Йошкар-Ола,Республика Марий Эл,Приволжский,12
85,Козьмодемьянск,Республика Марий Эл,Приволжский,12
86,Ардатов,Республика Мордовия,Приволжский,13
87,Инсар,Республика Мордовия,Приволжский,13
88,Ковылкино,Республика Мордовия,Приволжский,13
89,Краснослободск,Республика Мордовия,Приволжский,13
90,Рузаевка,Республика Мордовия,Приволжский,13
91,Саранск,Республика Мордовия,Приволжский,13
92,Темников,Республика Мордовия,Приволжский,13
93,Алдан,Республика Саха (Якутия),Дальневосточный,14
94,Верхоянск,Республика Саха (Якутия),Дальневосточный,14
95,Вилюйск,Республика Саха (Якутия),Дальневосточный,14
96,Ленск,Республика Саха (Якутия),Дальневосточный,14
97,Мирный,Республика Саха (Якутия),Дальневосточный,14
98,Нерюнгри,Республика Саха (Якутия),Дальневосточный,14
99,Нюрба,Республика Саха (Якутия),Дальневосточный,14
100,Олекминск,Республика Саха (Якутия),Дальневосточный,14
101,Покровск,Республика Саха (Якутия),Дальневосточный,14
102,Среднеколымск,Республика Саха (Якутия),Дальневосточный,14
103,Томмот,Республика Саха (Якутия),Дальневосточный,14
104,Удачный,Республика Саха (Якутия),Дальневосточный,14
105,Якутск,Республика Саха (Якутия),Дальневосточный,14
106,Алагир,Республика Северная Осетия-Алания ,Северо-Кавказский,15
107,Ардон,Республика Северная Осетия-Алания ,Северо-Кавказский,15
108,Беслан,Республика Северная Осетия-Алания ,Северо-Кавказский,15
109,Владикавказ,Республика Северная Осетия-Алания ,Северо-Кавказский,15
110,Дигора,Республика Северная Осетия-Алания ,Северо-Кавказский,15
111,Моздок,Республика Северная Осетия-Алания ,Северо-Кавказский,15
112,Агрыз,Республика Татарстан,Приволжский,16
113,Азнакаево,Республика Татарстан,Приволжский,16
114,Альметьевск,Республика Татарстан,Приволжский,16
115,Арск,Республика Татарстан,Приволжский,16
116,Бавлы,Республика Татарстан,Приволжский,16
117,Болгар,Республика Татарстан,Приволжский,16
118,Бугульма,Республика Татарстан,Приволжский,16
119,Буинск,Республика Татарстан,Приволжский,16
120,Елабуга,Республика Татарстан,Приволжский,16
121,Заинск,Республика Татарстан,Приволжский,16
122,Зеленодольск,Республика Татарстан,Приволжский,16
123,Казань,Республика Татарстан,Приволжский,16
124,Лаишево,Республика Татарстан,Приволжский,16
125,Лениногорск,Республика Татарстан,Приволжский,16
126,Мамадыш,Республика Татарстан,Приволжский,16
127,Менделеевск,Республика Татарстан,Приволжский,16
128,Мензелинск,Республика Татарстан,Приволжский,16
129,Набережные Челны,Республика Татарстан,Приволжский,16
130,Нижнекамск,Республика Татарстан,Приволжский,16
131,Нурлат,Республика Татарстан,Приволжский,16
132,Тетюши,Республика Татарстан,Приволжский,16
133,Чистополь,Республика Татарстан,Приволжский,16
134,Ак-Довурак,Республика Тыва,Сибирский,17
135,Кызыл,Республика Тыва,Сибирский,17
136,Туран,Республика Тыва,Сибирский,17
137,Чадан,Республика Тыва,Сибирский,17
138,Шагонар,Республика Тыва,Сибирский,17
139,Воткинск,Удмуртская республика,Приволжский,18
140,Глазов,Удмуртская республика,Приволжский,18
141,Ижевск,Удмуртская республика,Приволжский,18
142,Камбарка,Удмуртская республика,Приволжский,18
143,Можга,Удмуртская республика,Приволжский,18
144,Сарапул,Удмуртская республика,Приволжский,18
145,Абаза,Республика Хакасия,Сибирский,19
146,Абакан,Республика Хакасия,Сибирский,19
147,Саяногорск,Республика Хакасия,Сибирский,19
148,Сорск,Республика Хакасия,Сибирский,19
149,Черногорск,Республика Хакасия,Сибирский,19
150,Аргун,Чеченская Республика,Северо-Кавказский,20
151,Грозный,Чеченская Республика,Северо-Кавказский,20
152,Гудермес,Чеченская Республика,Северо-Кавказский,20
153,Урус-Мартан,Чеченская Республика,Северо-Кавказский,20
154,Шали,Чеченская Республика,Северо-Кавказский,20
155,Алатырь,Чувашская Республика,Приволжский,21
156,Канаш,Чувашская Республика,Приволжский,21
157,Козловка,Чувашская Республика,Приволжский,21
158,Мариинский Посад,Чувашская Республика,Приволжский,21
159,Новочебоксарск,Чувашская Республика,Приволжский,21
160,Цивильск,Чувашская Республика,Приволжский,21
161,Чебоксары,Чувашская Республика,Приволжский,21
162,Шумерля,Чувашская Республика,Приволжский,21
163,Ядрин,Чувашская Республика,Приволжский,21
164,Алейск,Алтайский край,Сибирский,22
165,Барнаул,Алтайский край,Сибирский,22
166,Белокуриха,Алтайский край,Сибирский,22
167,Бийск,Алтайский край,Сибирский,22
168,Горняк,Алтайский край,Сибирский,22
169,Заринск,Алтайский край,Сибирский,22
170,Змеиногорск,Алтайский край,Сибирский,22
171,Камень-на-Оби,Алтайский край,Сибирский,22
172,Новоалтайск,Алтайский край,Сибирский,22
173,Рубцовск,Алтайский край,Сибирский,22
174,Славгород,Алтайский край,Сибирский,22
175,Яровое,Алтайский край,Сибирский,22
176,Абинск,Краснодарский край,Южный,23
177,Анапа,Краснодарский край,Южный,23
178,Апшеронск,Краснодарский край,Южный,23
179,Армавир,Краснодарский край,Южный,23
180,Белореченск,Краснодарский край,Южный,23
181,Геленджик,Краснодарский край,Южный,23
182,Горячий Ключ,Краснодарский край,Южный,23
183,Гулькевичи,Краснодарский край,Южный,23
184,Ейск,Краснодарский край,Южный,23
185,Кореновск,Краснодарский край,Южный,23
186,Краснодар,Краснодарский край,Южный,23
187,Кропоткин,Краснодарский край,Южный,23
188,Крымск,Краснодарский край,Южный,23
189,Курганинск,Краснодарский край,Южный,23
190,Лабинск,Краснодарский край,Южный,23
191,Новокубанск,Краснодарский край,Южный,23
192,Новороссийск,Краснодарский край,Южный,23
193,Приморско-Ахтарск,Краснодарский край,Южный,23
194,Славянск-на-Кубани,Краснодарский край,Южный,23
195,Сочи,Краснодарский край,Южный,23
196,Темрюк,Краснодарский край,Южный,23
197,Тимашевск,Краснодарский край,Южный,23
198,Тихорецк,Краснодарский край,Южный,23
199,Туапсе,Краснодарский край,Южный,23
200,Усть-Лабинск,Краснодарский край,Южный,23
201,Хадыженск,Краснодарский край,Южный,23
202,Артемовск,Красноярский край,Сибирский,24
203,Ачинск,Красноярский край,Сибирский,24
204,Боготол,Красноярский край,Сибирский,24
205,Бородино,Красноярский край,Сибирский,24
206,Дивногорск,Красноярский край,Сибирский,24
