,Субъект федерации,Территория (км²),Население (На 01.01.2018),Административный центр,Федеральный округ,Код субъекта РФ
0,Республика Адыгея,7792.0,↗ 453 376,Майкоп,Южный,1
1,Республика Алтай,92903.0,↗ 218 063,Горно-Алтайск,Сибирский,4
2,Алтайский край,167996.0,↘ 2 350 080,Барнаул,Сибирский,22
3,Амурская область,361913.0,↘ 798 424,Благовещенск,Дальневосточный,28
4,Архангельская область,589913.0,↘ 1 155 028,Архангельск,Северо-Западный,29
5,Астраханская область,49024.0,↗ 1 017 514,Астрахань,Южный,30
6,Республика Башкортостан,142947.0,↘ 4 063 293,Уфа,Приволжский,2
7,Белгородская область,27134.0,↗ 1 549 876,Белгород,Центральный,31
8,Брянская область,34857.0,↘ 1 210 982,Брянск,Центральный,32
9,Республика Бурятия,351334.0,↗ 984 511,Улан-Удэ,Дальневосточный,3
10,Владимирская область,29084.0,↘ 1 378 337,Владимир,Центральный,33
11,Волгоградская область,112877.0,↘ 2 521 276,Волгоград,Южный,34
12,Вологодская область,144527.0,↘ 1 176 689,Вологда,Северо-Западный,35
13,Воронежская область,52216.0,↗ 2 333 768,Воронеж,Центральный,36
14,Республика Дагестан,50270.0,↗ 3 063 885,Махачкала,Северо-Кавказский,5
15,Еврейская автономная область,36266.0,↘ 162 014,Биробиджан,Дальневосточный,79
16,Забайкальский край,431892.0,↘ 1 072 806,Чита,Дальневосточный,75
17,Ивановская область,21437.0,↘ 1 014 646,Иваново,Центральный,37
18,Республика Ингушетия,3628.0,↗ 488 043,Магас,Северо-Кавказский,6
19,Иркутская область,774846.0,↘ 2 404 195,Иркутск,Сибирский,38
20,Кабардино-Балкарская Республика,12470.0,↗ 865 828,Нальчик,Северо-Кавказский,7
21,Калининградская область,15125.0,↗ 994 599,Калининград,Северо-Западный,39
22,Республика Калмыкия,74731.0,↘ 275 413,Элиста,Южный,8
23,Калужская область,29777.0,↗ 1 012 156,Калуга,Центральный,40
24,Камчатский край,464275.0,↘ 315 557,Петропавловск-Камчатский,Дальневосточный,41
25,Карачаево-Черкесская Республика,14277.0,↘ 466 305,Черкесск,Северо-Кавказский,9
26,Республика Карелия,180520.0,↘ 622 484,Петрозаводск,Северо-Западный,10
27,Кемеровская область,95725.0,↘ 2 694 877,Кемерово,Сибирский,42
28,Кировская область,120374.0,↘ 1 283 238,Киров,Приволжский,43
29,Республика Коми,416774.0,↘ 840 873,Сыктывкар,Северо-Западный,11
30,Костромская область,60211.0,↘ 643 324,Кострома,Центральный,44
31,Краснодарский край,75485.0,↗ 5 603 420,Краснодар,Южный,23
32,Красноярский край,2366797.0,↗ 2 876 497,Красноярск,Сибирский,24
33,Республика Крым,26081.0,↘ 1 913 731,Симферополь,Южный,91
34,Курганская область,71488.0,↘ 845 537,Курган,Уральский,45
35,Курская область,29997.0,↘ 1 115 237,Курск,Центральный,46
36,Ленинградская область,83908.0,↗ 1 813 816,Санкт-Петербург[2],Северо-Западный,47
37,Липецкая область,24047.0,↘ 1 150 201,Липецк,Центральный,48
38,Магаданская область,462464.0,↘ 144 091,Магадан,Дальневосточный,49
39,Республика Марий Эл,23375.0,↘ 682 333,Йошкар-Ола,Приволжский,12
40,Республика Мордовия,26128.0,↘ 805 056,Саранск,Приволжский,13
41,Москва,2511.0,↗ 12 506 468,Москва,Центральный,77
42,Московская область,44379.0,↗ 7 503 385,"офиц. Москва[3], факт. Красногорск",Центральный,50
43,Мурманская область,144902.0,↘ 753 557,Мурманск,Северо-Западный,51
44,Ненецкий автономный округ,176810.0,↗ 43 997,Нарьян-Мар,Северо-Западный,83
45,Нижегородская область,76624.0,↘ 3 234 752,Нижний Новгород,Приволжский,52
46,Новгородская область,54501.0,↘ 606 476,Великий Новгород,Северо-Западный,53
47,Новосибирская область,177756.0,↗ 2 788 849,Новосибирск,Сибирский,54
48,Омская область,141140.0,↘ 1 960 081,Омск,Сибирский,55
49,Оренбургская область,123702.0,↘ 1 977 720,Оренбург,Приволжский,56
50,Орловская область,24652.0,↘ 747 247,Орёл,Центральный,57
51,Пензенская область,43352.0,↘ 1 331 655,Пенза,Приволжский,58
